id;name;type;starts;ends
1;Milonga;milonga;2018-04-27T20:00;2018-04-28T01:00
2;Vals;workshop;2018-04-28T12:30;2018-04-28T14:30
3;Enrosques;workshop;2018-04-28T12:30;2018-04-28T14:30
4;Beginners;workshop;2018-04-28T13:00;2018-04-28T17:00
5;Giros;workshop;2018-04-28T15:00;2018-04-28T17:00
6;LÃ¡pices, Boleos, Planeos;workshop;2018-04-28T15:00;2018-04-28T17:00
7;Musicality;workshop;2018-04-28T17:30;2018-04-28T19:30
8;Colgadas y Volcadas;workshop;2018-04-28T17:30;2018-04-28T19:30
9;Milonga;milonga;2018-04-28T20:00;2018-04-29T01:00
10;Barridas y Sacadas;workshop;2018-04-29T12:30;2018-04-29T14:30
11;Sacadas;workshop;2018-04-29T12:30;2018-04-29T14:30
12;Beginners;workshop;2018-04-29T13:00;2018-04-29T17:00
13;Milonga;workshop;2018-04-29T15:00;2018-04-29T17:00
14;Boleos;workshop;2018-04-29T15:00;2018-04-29T17:00
15;Ganchos;workshop;2018-04-29T17:30;2018-04-29T19:30
16;Musicality and Rhythm;workshop;2018-04-29T17:30;2018-04-29T19:30
17;Milonga;milonga;2018-04-29T20:00;2018-04-30T01:00
18;Milonga;milonga;2018-04-30T20:00;2018-05-01T01:00